Nrr1,Clsdt,Nrrdata
NRI01,2011/2/25,3
NRI01,2011/2/26,3
NRI01,2011/2/27,3
NRI01,2011/2/28,3
NRI01,2011/3/1,3
NRI01,2011/3/2,3
NRI01,2011/3/3,3
NRI01,2011/3/4,3
NRI01,2011/3/5,3
NRI01,2011/3/6,3
NRI01,2011/3/7,3
NRI01,2011/3/8,3
NRI01,2011/3/9,3
NRI01,2011/3/10,3
NRI01,2011/3/11,3
NRI01,2011/3/12,3
NRI01,2011/3/13,3
NRI01,2011/3/14,3
NRI01,2011/3/15,3
NRI01,2011/3/16,3
NRI01,2011/3/17,3
NRI01,2011/3/18,3
NRI01,2011/3/19,3
NRI01,2011/3/20,3
NRI01,2011/3/21,3
NRI01,2011/3/22,3
NRI01,2011/3/23,3
NRI01,2011/3/24,3
NRI01,2011/3/25,3
NRI01,2011/3/26,3
NRI01,2011/3/27,3
NRI01,2011/3/28,3
NRI01,2011/3/29,3
NRI01,2011/3/30,3
NRI01,2011/3/31,3
NRI01,2011/4/1,3
NRI01,2011/4/2,3
NRI01,2011/4/3,3
NRI01,2011/4/4,3
NRI01,2011/4/5,3
NRI01,2011/4/6,3.25
NRI01,2011/4/7,3.25
NRI01,2011/4/8,3.25
NRI01,2011/4/9,3.25
NRI01,2011/4/10,3.25
NRI01,2011/4/11,3.25
NRI01,2011/4/12,3.25
NRI01,2011/4/13,3.25
NRI01,2011/4/14,3.25
NRI01,2011/4/15,3.25
NRI01,2011/4/16,3.25
NRI01,2011/4/17,3.25
NRI01,2011/4/18,3.25
NRI01,2011/4/19,3.25
NRI01,2011/4/20,3.25
NRI01,2011/4/21,3.25
NRI01,2011/4/22,3.25
NRI01,2011/4/23,3.25
NRI01,2011/4/24,3.25
NRI01,2011/4/25,3.25
NRI01,2011/4/26,3.25
NRI01,2011/4/27,3.25
NRI01,2011/4/28,3.25
NRI01,2011/4/29,3.25
NRI01,2011/4/30,3.25
NRI01,2011/5/1,3.25
NRI01,2011/5/2,3.25
NRI01,2011/5/3,3.25
NRI01,2011/5/4,3.25
NRI01,2011/5/5,3.25
NRI01,2011/5/6,3.25
NRI01,2011/5/7,3.25
NRI01,2011/5/8,3.25
NRI01,2011/5/9,3.25
NRI01,2011/5/10,3.25
NRI01,2011/5/11,3.25
NRI01,2011/5/12,3.25
NRI01,2011/5/13,3.25
NRI01,2011/5/14,3.25
NRI01,2011/5/15,3.25
NRI01,2011/5/16,3.25
NRI01,2011/5/17,3.25
NRI01,2011/5/18,3.25
NRI01,2011/5/19,3.25
NRI01,2011/5/20,3.25
NRI01,2011/5/21,3.25
NRI01,2011/5/22,3.25
NRI01,2011/5/23,3.25
NRI01,2011/5/24,3.25
NRI01,2011/5/25,3.25
NRI01,2011/5/26,3.25
NRI01,2011/5/27,3.25
NRI01,2011/5/28,3.25
NRI01,2011/5/29,3.25
NRI01,2011/5/30,3.25
NRI01,2011/5/31,3.25
NRI01,2011/6/1,3.25
NRI01,2011/6/2,3.25
NRI01,2011/6/3,3.25
NRI01,2011/6/4,3.25
NRI01,2011/6/5,3.25
NRI01,2011/6/6,3.25
NRI01,2011/6/7,3.25
NRI01,2011/6/8,3.25
NRI01,2011/6/9,3.25
NRI01,2011/6/10,3.25
NRI01,2011/6/11,3.25
NRI01,2011/6/12,3.25
NRI01,2011/6/13,3.25
NRI01,2011/6/14,3.25
NRI01,2011/6/15,3.25
NRI01,2011/6/16,3.25
NRI01,2011/6/17,3.25
NRI01,2011/6/18,3.25
NRI01,2011/6/19,3.25
NRI01,2011/6/20,3.25
NRI01,2011/6/21,3.25
NRI01,2011/6/22,3.25
NRI01,2011/6/23,3.25
NRI01,2011/6/24,3.25
NRI01,2011/6/25,3.25
NRI01,2011/6/26,3.25
NRI01,2011/6/27,3.25
NRI01,2011/6/28,3.25
NRI01,2011/6/29,3.25
NRI01,2011/6/30,3.25
NRI01,2011/7/1,3.25
NRI01,2011/7/2,3.25
NRI01,2011/7/3,3.25
NRI01,2011/7/4,3.25
NRI01,2011/7/5,3.25
NRI01,2011/7/6,3.25
NRI01,2011/7/7,3.5
NRI01,2011/7/8,3.5
NRI01,2011/7/9,3.5
NRI01,2011/7/10,3.5
NRI01,2011/7/11,3.5
NRI01,2011/7/12,3.5
NRI01,2011/7/13,3.5
NRI01,2011/7/14,3.5
NRI01,2011/7/15,3.5
NRI01,2011/7/16,3.5
NRI01,2011/7/17,3.5
NRI01,2011/7/18,3.5
NRI01,2011/7/19,3.5
NRI01,2011/7/20,3.5
NRI01,2011/7/21,3.5
NRI01,2011/7/22,3.5
NRI01,2011/7/23,3.5
NRI01,2011/7/24,3.5
NRI01,2011/7/25,3.5
NRI01,2011/7/26,3.5
NRI01,2011/7/27,3.5
NRI01,2011/7/28,3.5
NRI01,2011/7/29,3.5
NRI01,2011/7/30,3.5
NRI01,2011/7/31,3.5
NRI01,2011/8/1,3.5
NRI01,2011/8/2,3.5
NRI01,2011/8/3,3.5
NRI01,2011/8/4,3.5
NRI01,2011/8/5,3.5
NRI01,2011/8/6,3.5
NRI01,2011/8/7,3.5
NRI01,2011/8/8,3.5
NRI01,2011/8/9,3.5
NRI01,2011/8/10,3.5
NRI01,2011/8/11,3.5
NRI01,2011/8/12,3.5
NRI01,2011/8/13,3.5
NRI01,2011/8/14,3.5
NRI01,2011/8/15,3.5
NRI01,2011/8/16,3.5
NRI01,2011/8/17,3.5
NRI01,2011/8/18,3.5
NRI01,2011/8/19,3.5
NRI01,2011/8/20,3.5
NRI01,2011/8/21,3.5
NRI01,2011/8/22,3.5
NRI01,2011/8/23,3.5
NRI01,2011/8/24,3.5
NRI01,2011/8/25,3.5
NRI01,2011/8/26,3.5
NRI01,2011/8/27,3.5
NRI01,2011/8/28,3.5
NRI01,2011/8/29,3.5
NRI01,2011/8/30,3.5
NRI01,2011/8/31,3.5
NRI01,2011/9/1,3.5
NRI01,2011/9/2,3.5
NRI01,2011/9/3,3.5
NRI01,2011/9/4,3.5
NRI01,2011/9/5,3.5
NRI01,2011/9/6,3.5
NRI01,2011/9/7,3.5
NRI01,2011/9/8,3.5
NRI01,2011/9/9,3.5
NRI01,2011/9/10,3.5
NRI01,2011/9/11,3.5
NRI01,2011/9/12,3.5
NRI01,2011/9/13,3.5
NRI01,2011/9/14,3.5
NRI01,2011/9/15,3.5
NRI01,2011/9/16,3.5
NRI01,2011/9/17,3.5
NRI01,2011/9/18,3.5
NRI01,2011/9/19,3.5
NRI01,2011/9/20,3.5
NRI01,2011/9/21,3.5
NRI01,2011/9/22,3.5
NRI01,2011/9/23,3.5
NRI01,2011/9/24,3.5
NRI01,2011/9/25,3.5
NRI01,2011/9/26,3.5
